DESCRIPTION,OD,THICK
13.5x2.3 CHS - C250,13.5,2.3
13.5x2.9 CHS - C250,13.5,2.9
17.2x2.3 CHS - C250,17.2,2.3
17.2x2.9 CHS - C250,17.2,2.9
21.3x2.0 CHS - C350,21.3,2
21.3x2.6 CHS - C250,21.3,2.6
21.3x3.2 CHS - C250,21.3,3.2
21.3x3.6 CHS - C250,21.3,3.6
26.9x2.0 CHS - C350,26.9,2
26.9x2.3 CHS - C350,26.9,2.3
26.9x2.6 CHS - C250,26.9,2.6
26.9x3.2 CHS - C250,26.9,3.2
26.9x4.0 CHS - C250,26.9,4
33.7x2.0 CHS - C350,33.7,2
33.7x2.6 CHS - C350,33.7,2.6
33.7x3.2 CHS - C250,33.7,3.2
33.7x4.0 CHS - C250,33.7,4
33.7x4.5 CHS - C250,33.7,4.5
42.4x2.0 CHS - C350,42.4,2
42.4x2.6 CHS - C350,42.4,2.6
42.4x3.2 CHS - C250,42.4,3.2
42.4x4.0 CHS - C250,42.4,4
42.4x4.9 CHS - C250,42.4,4.9
48.3x2.3 CHS - C350,48.3,2.3
48.3x2.9 CHS - C350,48.3,2.9
48.3x3.2 CHS - C250,48.3,3.2
48.3x4.0 CHS - C250,48.3,4
48.3x5.4 CHS - C250,48.3,5.4
60.3x2.3 CHS - C350,60.3,2.3
60.3x2.9 CHS - C350,60.3,2.9
60.3x3.6 CHS - C250,60.3,3.6
60.3x4.5 CHS - C250,60.3,4.5
60.3x5.4 CHS - C250,60.3,5.4
76.1x2.3 CHS - C350,76.1,2.3
76.1x3.2 CHS - C350,76.1,3.2
76.1x3.6 CHS - C250,76.1,3.6
76.1x4.5 CHS - C250,76.1,4.5
76.1x5.9 CHS - C250,76.1,5.9
88.9x2.6 CHS - C350,88.9,2.6
88.9x3.2 CHS - C350,88.9,3.2
88.9x4.0 CHS - C250,88.9,4
88.9x4.8 CHS - C350,88.9,4.8
88.9x5.0 CHS - C250,88.9,5
88.9x5.5 CHS - C350,88.9,5.5
88.9x5.9 CHS - C250,88.9,5.9
101.6x2.6 CHS - C350,101.6,2.6
101.6x3.2 CHS - C350,101.6,3.2
101.6x4.0 CHS - C250,101.6,4
101.6x5.0 CHS - C250,101.6,5
114.3x3.2 CHS - C350,114.3,3.2
114.3x3.6 CHS - C350,114.3,3.6
114.3x4.5 CHS - C250,114.3,4.5
114.3x4.8 CHS - C350,114.3,4.8
114.3x5.4 CHS - C250,114.3,5.4
114.3x6.0 CHS - C350,114.3,6
139.7x3.0 CHS - C350,139.7,3
139.7x3.5 CHS - C350,139.7,3.5
139.7x5.0 CHS - C250,139.7,5
139.7x5.4 CHS - C250,139.7,5.4
165.1x3.0 CHS - C350,165.1,3
165.1x3.5 CHS - C350,165.1,3.5
165.1x5.0 CHS - C250,165.1,5
165.1x5.4 CHS - C250,165.1,5.4
168.3x4.8 CHS - C350,168.3,4.8
168.3x6.4 CHS - C350,168.3,6.4
168.3x7.1 CHS - C350,168.3,7.1
219.1x4.8 CHS - C350,219.1,4.8
219.1x6.4 CHS - C350,219.1,6.4
219.1x8.2 CHS - C350,219.1,8.2
273.1x4.8 CHS - C350,273.1,4.8
273.1x6.4 CHS - C350,273.1,6.4
273.1x9.3 CHS - C350,273.1,9.3
323.9x6.4 CHS - C350,323.9,6.4
323.9x9.5 CHS - C350,323.9,9.5
323.9x12.7 CHS - C350,323.9,12.7
355.6x6.4 CHS - C350,355.6,6.4
355.6x9.5 CHS - C350,355.6,9.5
355.6x12.7 CHS - C350,355.6,12.7
406.4x6.4 CHS - C350,406.4,6.4
406.4x9.5 CHS - C350,406.4,9.5
406.4x12.7 CHS - C350,406.4,12.7
457.0x6.4 CHS - C350,457,6.4
457.0x9.5 CHS - C350,457,9.5
457.0x12.7 CHS - C350,457,12.7
508.0x6.4 CHS - C250,508,6.4
508.0x9.5 CHS - C250,508,9.5
508.0x12.7 CHS - C250,508,12.7
610.0x6.4 CHS - C250,610,6.4
610.0x9.5 CHS - C250,610,9.5
610.0x12.7 CHS - C250,610,12.7
