"ID","CLASS","METHOD","LABEL","OD","THICK","WIDTH","DEPTH","WEBTHICK","FLANGETHICK","ROOTRADIUS","ROOTCHAMFER","TOERADIUS","RADIUS","LIP","FLANGE","EXT"
"#X#1","SZCOSection-Pipe","Make","76.1x3.2 CHS - C350","76.1","3.2",,,,,,,,,,,
"#X#2","SZCOSection-Pipe","Make","76.1x3.6 CHS - C250","76.1","3.6",,,,,,,,,,,
"#X#3","SZCOSection-Pipe","Make","76.1x4.5 CHS - C250","76.1","4.5",,,,,,,,,,,
"#X#4","SZCOSection-Pipe","Make","76.1x5.9 CHS - C250","76.1","5.9",,,,,,,,,,,
"#X#5","SZCOSection-Pipe","Make","88.9x2.6 CHS - C350","88.9","2.6",,,,,,,,,,,
"#X#6","SZCOSection-Pipe","Make","88.9x3.2 CHS - C350","88.9","3.2",,,,,,,,,,,
"#X#7","SZCOSection-Pipe","Make","88.9x4.0 CHS - C250","88.9","4",,,,,,,,,,,
"#X#8","SZCOSection-Pipe","Make","88.9x4.8 CHS - C350","88.9","4.8",,,,,,,,,,,
"#X#9","SZCOSection-Pipe","Make","88.9x5.0 CHS - C250","88.9","5",,,,,,,,,,,
"#X#10","SZCOSection-Pipe","Make","88.9x5.5 CHS - C350","88.9","5.5",,,,,,,,,,,
"#X#11","SZCOSection-Pipe","Make","88.9x5.9 CHS - C250","88.9","5.9",,,,,,,,,,,
"#X#12","SZCOSection-Pipe","Make","101.6x2.6 CHS - C350","101.6","2.6",,,,,,,,,,,
"#X#13","SZCOSection-Pipe","Make","101.6x3.2 CHS - C350","101.6","3.2",,,,,,,,,,,
"#X#14","SZCOSection-Pipe","Make","101.6x4.0 CHS - C250","101.6","4",,,,,,,,,,,
"#X#15","SZCOSection-Pipe","Make","101.6x5.0 CHS - C250","101.6","5",,,,,,,,,,,
"#X#16","SZCOSection-Pipe","Make","114.3x3.2 CHS - C350","114.3","3.2",,,,,,,,,,,
"#X#17","SZCOSection-Pipe","Make","114.3x3.6 CHS - C350","114.3","3.6",,,,,,,,,,,
"#X#18","SZCOSection-Pipe","Make","114.3x4.5 CHS - C250","114.3","4.5",,,,,,,,,,,
"#X#19","SZCOSection-Pipe","Make","114.3x4.8 CHS - C350","114.3","4.8",,,,,,,,,,,
"#X#20","SZCOSection-Pipe","Make","114.3x5.4 CHS - C250","114.3","5.4",,,,,,,,,,,
"#X#21","SZCOSection-Pipe","Make","114.3x6.0 CHS - C350","114.3","6",,,,,,,,,,,
"#X#22","SZCOSection-Pipe","Make","139.7x3.0 CHS - C350","139.7","3",,,,,,,,,,,
"#X#23","SZCOSection-Pipe","Make","139.7x3.5 CHS - C350","139.7","3.5",,,,,,,,,,,
"#X#24","SZCOSection-Pipe","Make","139.7x5.0 CHS - C250","139.7","5",,,,,,,,,,,
"#X#25","SZCOSection-Pipe","Make","139.7x5.4 CHS - C250","139.7","5.4",,,,,,,,,,,
"#X#26","SZCOSection-Pipe","Make","165.1x3.0 CHS - C350","165.1","3",,,,,,,,,,,
"#X#27","SZCOSection-Pipe","Make","165.1x3.5 CHS - C350","165.1","3.5",,,,,,,,,,,
"#X#28","SZCOSection-Pipe","Make","165.1x5.0 CHS - C250","165.1","5",,,,,,,,,,,
"#X#29","SZCOSection-Pipe","Make","165.1x5.4 CHS - C250","165.1","5.4",,,,,,,,,,,
"#X#30","SZCOSection-Pipe","Make","168.3x4.8 CHS - C350","168.3","4.8",,,,,,,,,,,
"#X#31","SZCOSection-Pipe","Make","168.3x6.4 CHS - C350","168.3","6.4",,,,,,,,,,,
"#X#32","SZCOSection-Pipe","Make","168.3x7.1 CHS - C350","168.3","7.1",,,,,,,,,,,
"#X#33","SZCOSection-Pipe","Make","219.1x4.8 CHS - C350","219.1","4.8",,,,,,,,,,,
"#X#34","SZCOSection-Pipe","Make","219.1x6.4 CHS - C350","219.1","6.4",,,,,,,,,,,
"#X#35","SZCOSection-Pipe","Make","219.1x8.2 CHS - C350","219.1","8.2",,,,,,,,,,,
"#X#36","SZCOSection-Pipe","Make","273.1x4.8 CHS - C350","273.1","4.8",,,,,,,,,,,
"#X#37","SZCOSection-Pipe","Make","273.1x6.4 CHS - C350","273.1","6.4",,,,,,,,,,,
"#X#38","SZCOSection-Pipe","Make","273.1x9.3 CHS - C350","273.1","9.3",,,,,,,,,,,
"#X#39","SZCOSection-Pipe","Make","323.9x6.4 CHS - C350","323.9","6.4",,,,,,,,,,,
"#X#40","SZCOSection-Pipe","Make","323.9x9.5 CHS - C350","323.9","9.5",,,,,,,,,,,
"#X#41","SZCOSection-Pipe","Make","323.9x12.7 CHS - C350","323.9","12.7",,,,,,,,,,,
"#X#42","SZCOSection-Pipe","Make","355.6x6.4 CHS - C350","355.6","6.4",,,,,,,,,,,
"#X#43","SZCOSection-Pipe","Make","355.6x9.5 CHS - C350","355.6","9.5",,,,,,,,,,,
"#X#44","SZCOSection-Pipe","Make","355.6x12.7 CHS - C350","355.6","12.7",,,,,,,,,,,
"#X#45","SZCOSection-Pipe","Make","406.4x6.4 CHS - C350","406.4","6.4",,,,,,,,,,,
"#X#46","SZCOSection-Pipe","Make","406.4x9.5 CHS - C350","406.4","9.5",,,,,,,,,,,
"#X#47","SZCOSection-Pipe","Make","406.4x12.7 CHS - C350","406.4","12.7",,,,,,,,,,,
"#X#48","SZCOSection-Pipe","Make","457.0x6.4 CHS - C350","457","6.4",,,,,,,,,,,
"#X#49","SZCOSection-Pipe","Make","457.0x9.5 CHS - C350","457","9.5",,,,,,,,,,,
"#X#50","SZCOSection-Pipe","Make","457.0x12.7 CHS - C350","457","12.7",,,,,,,,,,,
"#X#51","SZCOSection-Pipe","Make","508.0x6.4 CHS - C250","508","6.4",,,,,,,,,,,
"#X#52","SZCOSection-Pipe","Make","508.0x9.5 CHS - C250","508","9.5",,,,,,,,,,,
"#X#53","SZCOSection-Pipe","Make","508.0x12.7 CHS - C250","508","12.7",,,,,,,,,,,
"#X#54","SZCOSection-Pipe","Make","610.0x6.4 CHS - C250","610","6.4",,,,,,,,,,,
"#X#55","SZCOSection-Pipe","Make","610.0x9.5 CHS - C250","610","9.5",,,,,,,,,,,
"#X#56","SZCOSection-Pipe","Make","610.0x12.7 CHS - C250","610","12.7",,,,,,,,,,,
"#X#57","SZCOSection-Pipe","Make","13.5x2.3 CHS - C250","13.5","2.3",,,,,,,,,,,
"#X#58","SZCOSection-Pipe","Make","13.5x2.9 CHS - C250","13.5","2.9",,,,,,,,,,,
"#X#59","SZCOSection-Pipe","Make","17.2x2.3 CHS - C250","17.2","2.3",,,,,,,,,,,
"#X#60","SZCOSection-Pipe","Make","17.2x2.9 CHS - C250","17.2","2.9",,,,,,,,,,,
"#X#61","SZCOSection-Pipe","Make","21.3x2.0 CHS - C350","21.3","2",,,,,,,,,,,
"#X#62","SZCOSection-Pipe","Make","21.3x2.6 CHS - C250","21.3","2.6",,,,,,,,,,,
"#X#63","SZCOSection-Pipe","Make","21.3x3.2 CHS - C250","21.3","3.2",,,,,,,,,,,
"#X#64","SZCOSection-Pipe","Make","21.3x3.6 CHS - C250","21.3","3.6",,,,,,,,,,,
"#X#65","SZCOSection-Pipe","Make","26.9x2.0 CHS - C350","26.9","2",,,,,,,,,,,
"#X#66","SZCOSection-Pipe","Make","26.9x2.3 CHS - C350","26.9","2.3",,,,,,,,,,,
"#X#67","SZCOSection-Pipe","Make","26.9x2.6 CHS - C250","26.9","2.6",,,,,,,,,,,
