DESCRIPTION,WIDTH,DEPTH,FLANGETHICK,WEBTHICK,ROOTRADIUS
610UB125,229,612,19.6,11.9,14
610UB113,228,607,17.3,11.2,14
610UB101,228,602,14.8,10.6,14
530UB92.4,209,533,15.6,10.2,14
530UB82.0,209,528,13.2,9.6,14
460UB82.1,191,460,16,9.9,11.4
460UB74.6,190,457,14.5,9.1,11.4
460UB67.1,190,454,12.7,8.5,11.4
410UB59.7,178,406,12.8,7.8,11.4
410UB53.7,178,403,10.9,7.6,11.4
360UB56.7,172,359,13,8,11.4
360UB50.7,171,356,11.5,7.3,11.4
360UB44.7,171,352,9.7,6.9,11.4
310UB46.2,166,307,11.8,6.7,11.4
310UB40.4,165,304,10.2,6.1,11.4
310UB32.0,149,298,8,5.5,13
250UB37.3,146,256,10.9,6.4,8.9
250UB31.4,146,252,8.6,6.1,8.9
250UB25.7,124,248,8,5,12
200UB29.8,134,207,9.6,6.3,8.9
200UB25.4,133,203,7.8,5.8,8.9
200UB22.3,133,202,7,5,8.9
200UB18.2,99,198,7,4.5,11
180UB22.2,90,179,10,6,8.9
180UB18.1,90,175,8,5,8.9
180UB16.1,90,173,7,4.5,8.9
150UB18.0,75,155,9.5,6,8
150UB14.0,75,150,7,5,8
310UC158,311,327,25,15.7,16.5
310UC137,309,321,21.7,13.8,16.5
310UC118,307,315,18.7,11.9,16.5
310UC96.8,305,308,15.4,9.9,16.5
250UC89.5,256,260,17.3,10.5,14
250UC72.9,254,254,14.2,8.6,14
200UC59.3,205,210,14.2,9.3,11.4
200UC52.2,204,206,12.5,8,11.4
200UC46.2,203,203,11,7.3,11.4
150UC37.2,154,162,11.5,8.1,8.9
150UC30.0,153,158,9.4,6.6,8.9
150UC23.4,152,152,6.8,6.1,8.9
